식품명,식품대분류명,영양성분함량기준량,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg),식품기원명
해장국_뼈다귀,국 및 탕류,100g,26,1.06,3.19,0.97,346,가정식(분석 함량)
해장국_선지,국 및 탕류,100g,29,1.23,3.86,0.96,312,가정식(분석 함량)
동태국,국 및 탕류,100g,17,1.40,2.42,0.16,224,가정식(분석 함량)
갈치찌개,찌개 및 전골류,100g,38,1.95,5.27,1.00,91,가정식(분석 함량)
감자탕,찌개 및 전골류,100g,71,2.27,6.31,4.06,328,가정식(분석 함량)
김치전골,찌개 및 전골류,100g,73,5.68,3.12,4.23,299,가정식(분석 함량)
김치찌개_꽁치,찌개 및 전골류,100g,89,3.54,7.14,5.18,249,가정식(분석 함량)
김치찌개_돼지고기,찌개 및 전골류,100g,45,1.04,4.25,2.71,207,가정식(분석 함량)
김치찌개_어묵,찌개 및 전골류,100g,38,6.31,1.82,0.59,256,가정식(분석 함량)
김치찌개_참치,찌개 및 전골류,100g,51,2.90,3.59,2.82,264,가정식(분석 함량)
김치찌개_햄,찌개 및 전골류,100g,31,3.17,1.47,1.39,445,가정식(분석 함량)
꽃게탕,찌개 및 전골류,100g,17,1.44,1.86,0.41,273,가정식(분석 함량)
낙지전골,찌개 및 전골류,100g,51,3.72,6.50,1.14,484,가정식(분석 함량)
동태찌개,찌개 및 전골류,100g,44,1.72,6.11,1.37,273,가정식(분석 함량)
돼지고기찌개,찌개 및 전골류,100g,48,2.26,6.25,1.51,255,가정식(분석 함량)
된장찌개,찌개 및 전골류,100g,46,4.44,3.38,1.63,318,가정식(분석 함량)
된장찌개_냉이,찌개 및 전골류,100g,19,2.91,1.17,0.31,174,가정식(분석 함량)
된장찌개_달래,찌개 및 전골류,100g,35,3.81,3.18,0.79,570,가정식(분석 함량)
된장찌개_두부,찌개 및 전골류,100g,41,2.56,3.25,1.96,478,가정식(분석 함량)
된장찌개_바지락,찌개 및 전골류,100g,23,1.18,2.88,0.72,406,가정식(분석 함량)
두부찌개_고추장,찌개 및 전골류,100g,52,3.18,4.01,2.63,181,가정식(분석 함량)
두부찌개_소고기_고추장,찌개 및 전골류,100g,58,6.73,4.56,1.42,195,가정식(분석 함량)
두부찌개_소고기_된장,찌개 및 전골류,100g,55,3.50,5.71,1.98,297,가정식(분석 함량)
매운탕_대구,찌개 및 전골류,100g,22,0.19,4.49,0.40,250,가정식(분석 함량)
매운탕_해물,찌개 및 전골류,100g,35,2.51,4.85,0.64,368,가정식(분석 함량)
버섯전골,찌개 및 전골류,100g,78,4.78,5.14,4.24,146,가정식(분석 함량)
부대찌개,찌개 및 전골류,100g,123,10.27,5.86,6.49,239,가정식(분석 함량)
샤브샤브_버섯,찌개 및 전골류,100g,30,1.57,3.88,0.90,51,가정식(분석 함량)
샤브샤브_소고기,찌개 및 전골류,100g,43,1.80,5.38,1.62,96,가정식(분석 함량)
소고기전골,찌개 및 전골류,100g,63,0.46,7.89,3.24,299,가정식(분석 함량)
순두부찌개_김치,찌개 및 전골류,100g,35,2.17,2.98,1.59,151,가정식(분석 함량)
알탕,찌개 및 전골류,100g,39,1.74,6.37,0.74,250,가정식(분석 함량)
오리백숙,찌개 및 전골류,100g,112,0.50,10.59,7.50,161,가정식(분석 함량)
오리탕,찌개 및 전골류,100g,121,6.08,9.50,6.56,317,가정식(분석 함량)
오징어찌개,찌개 및 전골류,100g,34,4.77,3.30,0.22,285,가정식(분석 함량)
청국장찌개,찌개 및 전골류,100g,47,1.92,5.03,2.11,242,가정식(분석 함량)
추어탕,찌개 및 전골류,100g,54,3.07,3.24,3.18,246,가정식(분석 함량)
콩비지찌개,찌개 및 전골류,100g,69,3.57,6.74,3.08,289,가정식(분석 함량)
호박찌개_고추장,찌개 및 전골류,100g,41,5.96,2.08,0.99,211,가정식(분석 함량)
고구마_찐고구마,찜류,100g,139,32.47,1.67,0.24,10,가정식(분석 함량)
가오리찜,찜류,100g,102,0.46,21.99,1.39,151,가정식(분석 함량)
갈비찜_소고기,찜류,100g,85,6.95,7.25,3.17,272,가정식(분석 함량)
감자_찐감자,찜류,100g,70,15.01,2.16,0.16,3,가정식(분석 함량)
깻잎찜,찜류,100g,97,5.96,5.21,5.86,792,가정식(분석 함량)
꼬막찜,찜류,100g,96,6.97,12.03,2.28,736,가정식(분석 함량)
꽈리고추찜,찜류,100g,104,17.69,3.59,2.09,316,가정식(분석 함량)
달걀찜_새우젓,찜류,100g,58,0.47,4.98,4.04,247,가정식(분석 함량)
달걀찜_우유,찜류,100g,105,3.80,8.23,6.31,262,가정식(분석 함량)
닭찜,찜류,100g,107,0.60,12.37,6.09,224,가정식(분석 함량)
돼지갈비찜,찜류,100g,194,7.44,13.29,12.32,478,가정식(분석 함량)
사태찜_소고기,찜류,100g,110,3.67,12.10,5.17,302,가정식(분석 함량)
수육_소고기,찜류,100g,166,2.04,28.43,4.94,31,가정식(분석 함량)
순대,찜류,100g,187,35.73,2.75,3.64,604,가정식(분석 함량)
아귀찜,찜류,100g,84,7.26,6.72,3.13,392,가정식(분석 함량)
애호박찜,찜류,100g,181,21.18,9.50,6.48,161,가정식(분석 함량)
옥수수_찐옥수수,찜류,100g,185,34.20,6.68,2.42,90,가정식(분석 함량)
족발,찜류,100g,233,0.93,26.04,13.91,345,가정식(분석 함량)
코다리찜,찜류,100g,94,6.08,14.49,1.35,620,가정식(분석 함량)
콩나물찜_해물,찜류,100g,56,4.97,6.67,1.01,223,가정식(분석 함량)
풋고추찜,찜류,100g,51,8.27,2.31,0.99,708,가정식(분석 함량)
가자미구이,구이류,100g,123,0.66,18.70,5.02,315,가정식(분석 함량)
갈비구이_소고기,구이류,100g,241,1.59,25.91,14.55,402,가정식(분석 함량)
갈치구이_기름,구이류,100g,138,0.60,21.54,5.48,297,가정식(분석 함량)
고등어구이_석쇠,구이류,100g,340,3.79,23.38,25.69,126,가정식(분석 함량)
곱창구이_소고기,구이류,100g,184,4.71,14.89,11.73,1315,가정식(분석 함량)
김구이_조미김,구이류,100g,470,29.00,20.40,30.20,4011,가정식(분석 함량)
꼬치구이_닭고기_대파,구이류,100g,245,10.35,17.85,14.70,417,가정식(분석 함량)
닭구이,구이류,100g,257,7.80,26.21,13.39,751,가정식(분석 함량)
닭발구이,구이류,100g,196,9.70,18.15,9.41,827,가정식(분석 함량)
떡갈비,구이류,100g,202,2.46,21.38,11.82,404,가정식(분석 함량)
런천미트구이,구이류,100g,303,3.27,17.56,24.38,954,가정식(분석 함량)
뱅어포구이,구이류,100g,374,25.07,34.37,15.17,1479,가정식(분석 함량)
버섯구이,구이류,100g,52,4.78,5.16,1.38,492,가정식(분석 함량)
버섯구이_새송이버섯,구이류,100g,84,11.66,4.29,2.21,463,가정식(분석 함량)
